Role_ID,Role_Listing_Ver,Skills,Skills_Proficiency
1,0,Account Management,1
1,0,Budgeting,2
1,0,Business Development,2
1,0,Business Needs Analysis,2
1,0,Business Negotiation,2
1,0,Collaboration,1
1,0,Communication,3
1,0,Data Analytics,1
1,0,Pricing Strategy,2
1,0,Problem Solving,3
1,0,Product Management,1
1,0,Sales Strategy,1
1,0,Stakeholder Management,1
2,0,Collaboration,1
2,0,Communication,1
2,0,Customer Relationship Management,1
2,0,Problem Solving,1
2,0,Solutions Design Thinking,3
2,0,Stakeholder Management,3
2,0,Technology Integration,1
3,0,Call Centre Management,2
3,0,Collaboration,1
3,0,Communication,3
3,0,Customer Relationship Management,3
3,0,Digital Fluency,1
3,0,Problem Solving,2
3,0,Stakeholder Management,3
3,0,Technology Application,1
4,0,Account Management,2
4,0,Budgeting,3
4,0,Business Development,2
4,0,Business Needs Analysis,3
4,0,Communication,2
4,0,Data Analytics,3
4,0,People and Performance Management,1
4,0,Problem Management,2
4,0,Problem Solving,3
4,0,Product Management,2
4,0,Project Management,2
4,0,Sales Strategy,2
4,0,Stakeholder Management,3
4,0,Strategy Planning,1
5,0,Account Management,2
5,0,Business Development,3
5,0,Business Needs Analysis,3
5,0,Collaboration,1
5,0,Communication,3
5,0,Data Analytics,3
5,0,Problem Management,2
5,0,Problem Solving,2
5,0,Product Management,3
5,0,Project Management,3
5,0,Stakeholder Management,1
6,0,Applications Development,3
6,0,Applications Integration,3
6,0,Applications Support and Enhancement,3
6,0,Business Environment Analysis,1
6,0,Business Needs Analysis,2
6,0,Business Requirements Mapping,1
6,0,Business Risk Management,3
6,0,Collaboration,3
6,0,Communication,1
6,0,Configuration Tracking,2
6,0,Database Administration,2
6,0,Problem Management,3
6,0,Problem Solving,2
6,0,Product Management,3
6,0,Project Management,1
6,0,Software Configuration,2
6,0,Software Design,3
6,0,Software Testing,1
6,0,Solution Architecture,2
6,0,Stakeholder Management,1
6,0,System Integration,1
6,0,User Interface Design,2
7,0,Budgeting,2
7,0,Communication,1
7,0,Problem Solving,3
